0131002159900000000000NON,Circuit Court (Retain Margaret Brennan),No
0176001159900000000000NON,Circuit Court (Retain Maritza Martinez),Yes
0176002159900000000000NON,Circuit Court (Retain Maritza Martinez),No
0124001159900000000000NON,Circuit Court (Retain Mary Ellen Coghlan),Yes
0124002159900000000000NON,Circuit Court (Retain Mary Ellen Coghlan),No
0141001159900000000000NON,Circuit Court (Retain Maureen Ward Kirby),Yes
0141002159900000000000NON,Circuit Court (Retain Maureen Ward Kirby),No
0144001159900000000000NON,Circuit Court (Retain Mauricio Araujo),Yes
0144002159900000000000NON,Circuit Court (Retain Mauricio Araujo),No
0172001159900000000000NON,Circuit Court (Retain Megan Goldish),Yes
0172002159900000000000NON,Circuit Court (Retain Megan Goldish),No
0138001159900000000000NON,Circuit Court (Retain Michael Hyman),Yes
0138002159900000000000NON,Circuit Court (Retain Michael Hyman),No
0122001159900000000000NON,Circuit Court (Retain Michael Toomin),Yes
0122002159900000000000NON,Circuit Court (Retain Michael Toomin),No
0150001159900000000000NON,Circuit Court (Retain Pamela Loza),Yes
0150002159900000000000NON,Circuit Court (Retain Pamela Loza),No
0162001159900000000000NON,Circuit Court (Retain Pamela McLean Meyerson),Yes
0162002159900000000000NON,Circuit Court (Retain Pamela McLean Meyerson),No
0126001159900000000000NON,Circuit Court (Retain Patricia Manila Martin),Yes
0126002159900000000000NON,Circuit Court (Retain Patricia Manila Martin),No
0181001159900000000000NON,Circuit Court (Retain Patricia O'Brien Sheahan),Yes
0181002159900000000000NON,Circuit Court (Retain Patricia O'Brien Sheahan),No
0170001159900000000000NON,Circuit Court (Retain Patrick Coughlin),Yes
0170002159900000000000NON,Circuit Court (Retain Patrick Coughlin),No
0140001159900000000000NON,Circuit Court (Retain Patrick Sherlock),Yes
0140002159900000000000NON,Circuit Court (Retain Patrick Sherlock),No
0133001159900000000000NON,Circuit Court (Retain Peter Felice),Yes
0133002159900000000000NON,Circuit Court (Retain Peter Felice),No
0137001159900000000000NON,Circuit Court (Retain Raul Vega),Yes
0137002159900000000000NON,Circuit Court (Retain Raul Vega),No
0129001159900000000000NON,Circuit Court (Retain Robert Gordon),Yes
0129002159900000000000NON,Circuit Court (Retain Robert Gordon),No
0174001159900000000000NON,Circuit Court (Retain Robert Kuzas),Yes
0174002159900000000000NON,Circuit Court (Retain Robert Kuzas),No
0125001159900000000000NON,Circuit Court (Retain Shelley Sutker-Dermer),Yes
0125002159900000000000NON,Circuit Court (Retain Shelley Sutker-Dermer),No
0166001159900000000000NON,Circuit Court (Retain Steven Watkins),Yes
0166002159900000000000NON,Circuit Court (Retain Steven Watkins),No
0177001159900000000000NON,Circuit Court (Retain Terrence McGuire),Yes
0177002159900000000000NON,Circuit Court (Retain Terrence McGuire),No
0145001159900000000000NON,Circuit Court (Retain Thomas Byrne),Yes
0145002159900000000000NON,Circuit Court (Retain Thomas Byrne),No
0158001159900000000000NON,Circuit Court (Retain Thomas Carroll),Yes
0158002159900000000000NON,Circuit Court (Retain Thomas Carroll),No
0155001159900000000000NON,Circuit Court (Retain Ursula Walowski),Yes
0155002159900000000000NON,Circuit Court (Retain Ursula Walowski),No
0168001159900000000000NON,Circuit Court (Retain William Raines),Yes
0168002159900000000000NON,Circuit Court (Retain William Raines),No
0183001002400000000000,Calumet City: Mayoral qualification proposal,YES
0183002002400000000000,Calumet City: Mayoral qualification proposal,NO
0182001002400000000000,Calumet City: Term limits on mayor,YES
0182002002400000000000,Calumet City: Term limits on mayor,NO
0184001000900000000000,Crestwood: Become home rule,YES
0184002000900000000000,Crestwood: Become home rule,NO
0199001005200000000000,Elk Grove Township: Abolish road district,YES
0199002005200000000000,Elk Grove Township: Abolish road district,NO
0186001002400000000000,Elk Grove Village: Approve sale of recreational cannabis,YES
0186002002400000000000,Elk Grove Village: Approve sale of recreational cannabis,NO
0187001002400000000000,Elk Grove Village: Increase waste fee; eliminate lawn stickers,YES
0187002002400000000000,Elk Grove Village: Increase waste fee; eliminate lawn stickers,NO
0185001002400000000000,Elk Grove Village: Limit on video gaming locations,YES
0185002002400000000000,Elk Grove Village: Limit on video gaming locations,NO
0188001000900000000000,Flossmoor: Issue general obligation bonds,YES
0188002000900000000000,Flossmoor: Issue general obligation bonds,NO
0204001001400000000000,Lemont-Bromberek School District 113A: Increase tax limit rate,YES
0204002001400000000000,Lemont-Bromberek School District 113A: Increase tax limit rate,NO
0200001007800000000000,Lyons Township: Fee on fossil fuel producers,YES
0200002007800000000000,Lyons Township: Fee on fossil fuel producers,NO
0189001003400000000000,Mount Prospect: Approve sale of recreational cannabis,YES
0189002003400000000000,Mount Prospect: Approve sale of recreational cannabis,NO
0190001000800000000000,Northlake: Allow liquor sales,YES
0190002000800000000000,Northlake: Allow liquor sales,NO
0192001000800000000000,Northlake: Have entire city in same high school district,YES
0192002000800000000000,Northlake: Have entire city in same high school district,NO
0191001000800000000000,Northlake: Purchase electric vehicles,YES
0191002000800000000000,Northlake: Purchase electric vehicles,NO
0201001003700000000000,Oak Park Township: Limit on operating cash balances,YES
0201002003700000000000,Oak Park Township: Limit on operating cash balances,NO
0202001003700000000000,Oak Park Township: Require binding referendum on capital expenditures,YES
0202002003700000000000,Oak Park Township: Require binding referendum on capital expenditures,NO
0193001005000000000000,Orland Park: Term limits for village president,YES
0193002005000000000000,Orland Park: Term limits for village president,NO
0194001002900000000000,Park Ridge: Approve sale of recreational cannabis,YES
0194002002900000000000,Park Ridge: Approve sale of recreational cannabis,NO
0203001000600000000000,Pennoyer School District 79: Issue bonds,YES
0203002000600000000000,Pennoyer School District 79: Issue bonds,NO
0195001001000000000000,Richton Park: Appoint village clerk instead of elect,YES
0195002001000000000000,Richton Park: Appoint village clerk instead of elect,NO
0196001001300000000000,Westchester: Issue bonds,YES
0196002001300000000000,Westchester: Issue bonds,NO
0197001001200000000000,Western Springs: Approve cannabis businesses,YES
0197002001200000000000,Western Springs: Approve cannabis businesses,NO
0198001002200000000000,Wilmette: Approve sale of recreational cannabis,YES
0198002002200000000000,Wilmette: Approve sale of recreational cannabis,NO
