0157002206900000000000NON,Circuit Court (Retain Robert Kuzas),No
0108001206900000000000NON,Circuit Court (Retain Shelley Sutker-Dermer),Yes
0108002206900000000000NON,Circuit Court (Retain Shelley Sutker-Dermer),No
0149001206900000000000NON,Circuit Court (Retain Steven Watkins),Yes
0149002206900000000000NON,Circuit Court (Retain Steven Watkins),No
0160001206900000000000NON,Circuit Court (Retain Terrence McGuire),Yes
0160002206900000000000NON,Circuit Court (Retain Terrence McGuire),No
0128001206900000000000NON,Circuit Court (Retain Thomas Byrne),Yes
0128002206900000000000NON,Circuit Court (Retain Thomas Byrne),No
0141001206900000000000NON,Circuit Court (Retain Thomas Carroll),Yes
0141002206900000000000NON,Circuit Court (Retain Thomas Carroll),No
0138001206900000000000NON,Circuit Court (Retain Ursula Walowski),Yes
0138002206900000000000NON,Circuit Court (Retain Ursula Walowski),No
0151001206900000000000NON,Circuit Court (Retain William Raines),Yes
0151002206900000000000NON,Circuit Court (Retain William Raines),No
0166001206900000000000,Chicago: Create citywide plan for growth,Yes
0166002206900000000000,Chicago: Create citywide plan for growth,No
0168001006600000000000,Chicago: Establish Bronzeville mental health service,Yes
0168002006600000000000,Chicago: Establish Bronzeville mental health service,No
0165001206900000000000,Chicago: Expand broadband internet,Yes
0165002206900000000000,Chicago: Expand broadband internet,No
0170001000100000000000,Chicago: Prohibit liquor sales in 16th precinct of 44th Ward,Yes
0170002000100000000000,Chicago: Prohibit liquor sales in 16th precinct of 44th Ward,No
0167001206900000000000,Chicago: Regulate assault weapons,Yes
0167002206900000000000,Chicago: Regulate assault weapons,No
0169001006600000000000,Chicago: Tax extention to fund Bronzeville mental health service,Yes
0169002006600000000000,Chicago: Tax extention to fund Bronzeville mental health service,No
